Group;No.;Compounds;SMILES;RI
Train;m1;1.2.3.6-Tetrahydrophthalimide (cis-);[C@H]12[C@H](C(=O)NC1=O)CC=CC2;233.97
Train;m2;10-Hydroxycarbamazepine;c12N(c3c(C[C@@H](c1cccc2)O)cccc3)C(=O)N;353.86
Train;m3;17-alpha-Methyltestosterone;[C@@H]12[C@@H]([C@@]3(C(=CC(=O)CC3)CC2)C)CC[C@]2([C@H]1CC[C@]2(C)O)C;692.14
Test;m4;1-Hydroxymethyltriazolam. alpha-Hydroxy-Triazolam;n12c3c(C(=NCc1nnc2CO)c1c(cccc1)Cl)cc(cc3)Cl;484.44
Train;m5;1-Hydroxymidazolam;n12c3c(C(=NCc1cnc2CO)c1c(cccc1)F)cc(cc3)Cl;544.76
Test;m6;1-OH-Benzotriazole;On1nnc2c1cccc2;196.55
Train;m7;1-Piperonylpiperazine;N1CCN(CC1)Cc1ccc2c(c1)OCO2;222.52
Train;m8;2 C-D;c1(c(cc(c(c1)OC)C)OC)CCN;308.04
Train;m9;2 C-P;NCCc1c(cc(c(c1)OC)CCC)OC;469.93
Train;m10;2.4.5-T-methylester;c1(c(cc(c(c1)Cl)Cl)Cl)OCC(=O)OC;721.16
Train;m11;2.4-D;O=C(O)COc1ccc(Cl)cc1Cl;446.26
Train;m12;2.4-DB;Clc1c(OCCCC(=O)O)ccc(Cl)c1;666.94
Train;m13;2.4-DB-methylester;COC(=O)CCCOc1ccc(cc1Cl)Cl;766.21
Train;m14;2.4-D-butylester;Clc1c(OCC(=O)OCCCC)ccc(Cl)c1;805.92
Train;m15;2.4-Dimethylaniline (Metabolite Amitraz);Nc1c(cc(cc1)C)C;285.13
Test;m16;2.4-D-methylester;Clc1c(OCC(=O)OC)ccc(Cl)c1;634.11
Train;m17;2-5-DMA;O(c1c(CC(N)C)cc(OC)cc1)C;265.28
Train;m18;25I-NBoMe;Ic1c(OC)cc(CCNCc2c(OC)cccc2)c(OC)c1;513.45
Test;m19;2-Amino-5-chlorobenzophenone;Nc1c(C(=O)c2ccccc2)cc(cc1)Cl;702.07
Train;m20;2-Amino-5-nitrobenzophenone;Nc1ccc(cc1C(=O)c1ccccc1)N(O)O;586.76
Train;m21;2-Amino-Benzothiazole;Nc1nc2c(s1)cccc2;346.22
Train;m22;2-Benzyltetronic acid;O1C(=O)C(C(=O)C1)Cc1ccccc1;286.66
Train;m23;2C-B;NCCc1cc(OC)c(cc1OC)Br;324.84
Test;m24;2C-C;NCCc1c(OC)cc(Cl)c(OC)c1;303.46
Train;m25;2-C-C-NBoMe;COc1ccccc1CNCCc1cc(OC)c(Cl)cc1OC;460.77
Train;m26;2C-E;NCCc1cc(OC)c(cc1OC)CC;395.09
Train;m27;2C-H;Oc1ccccc1Br;238.55
Train;m28;2C-I;NCCc1cc(OC)c(cc1OC)I;363.02
Test;m29;2CT-2;c1c(c(cc(c1OC)CCN)OC)SCC;349.28
Train;m30;2C-T-4;NCCc1c(OC)cc(c(OC)c1)SC(C)C;411.13
Train;m31;2C-T-7;c1c(c(cc(c1OC)CCN)OC)SCCC;433.27
Train;m32;2-Fluoramphetamin;c1(c(cccc1)F)CC(C)N;224.04
Train;m33;2-F-Methamphetamine;CNC(C)Cc1c(cccc1)F;230.92
Train;m34;2-Hydroxyibuprofen;C(=O)(C(c1ccc(CC(O)(C)C)cc1)C)O;440.91
Train;m35;2-Me-S-Benzothiazole;c1ccc2c(c1)sc(n2)SC;647.85
Train;m36;2-OH-Benzothiazole;Oc1nc2c(s1)cccc2;398.91
Train;m37;2-Oxo-3-hydroxy-LSD  ;c12C3=C[C@H](CN([C@@H]3CC3(c1c(NC3=O)ccc2)O)C)C(=O)N(CC)CC;223.28
Train;m38;2-Phenethylamine;NCCc1ccccc1;172.88
Test;m39;3 4-(dichlorophenyl)-3-methyl urea;c1(cc(c(cc1)Cl)Cl)NC(=O)NC;550.11
Train;m40;3 4-(dichlorophenyl)-urea;NC(=O)Nc1ccc(c(c1)Cl)Cl;510.4
Test;m41;3.5-Diiodotyrosine;OC(=O)C(Cc1cc(I)c(c(c1)I)O)N;264.51
Train;m42;3-4-DMA;c1(c(cc(cc1)CC(C)N)OC)OC;201.13
Train;m43;3-4-DMMC;c1cc(c(cc1C(=O)C(NC)C)C)C;299.64
Test;m44;3-F-Amphetamine;c1(cc(ccc1)F)CC(C)N;235.5
Train;m45;3-F-Methamphetamine;CNC(C)Cc1cc(ccc1)F;235.5
Test;m46;3-F-Methcathinone;CNC(C)C(=O)c1cccc(F)c1;201.13
Test;m47;3-Hydroxyphenazepam;Brc1cc2C(=NC(O)C(=O)Nc2cc1)c1c(Cl)cccc1;537.13
Test;m48;3-MBZP;CN1CCN(CC1)Cc1ccccc1;292.01
Train;m49;3-Methylfentanyl;N(C(=O)CC)(C1C(CN(CC1)CCc1ccccc1)C)c1ccccc1;395.86
Train;m50;3-Methylnorfentanyl;C1CNCC(C1N(C(=O)CC)c1ccccc1)C;282.84
Train;m51;4-AcO-DIPT;c12ccc(cc1[nH]cc2CCN(C(C)C)C(C)C)OC(=O)C;272.91
Train;m52;4-Benzamidosalicylic acid;O=C(c1ccccc1)Nc1ccc(c(c1)O)C(=O)O;317.97
Test;m53;4-F-Amphetamine;Fc1ccc(CC(N)C)cc1;235.5
Train;m54;4-F-Methamphetamine;CNC(C)Cc1ccc(cc1)F;238.55
Train;m55;4-F-Methcathinone. 4-FMC. Flephedrone;c1c(ccc(c1)C(=O)C(C)NC)F;198.84
Test;m56;4-Me-Benzotriazole;c1c(cc2c(c1)nn[nH]2)C;345.46
Train;m57;4-MEC;C(=O)(c1ccc(cc1)C)C(NCC)C;262.22
Train;m58;4-MePPP;O=C(C(N1CCCC1)C)c1ccc(cc1)C;263.75
Test;m59;4-Methoxy-1.3-phenylenediamine;c1(c(cc(cc1)N)N)OC;81.25
Train;m60;4-Methylaminophenazone;n1(c2ccccc2)c(=O)c(c(n1C)C)NC;262.22
